"_id","_labels","class_type","email","is_admin","name","password_hash","phone_number","price","seats","_start","_end","_type","buy_date","time"
"0",":City","","","","Москва","","","","",,,,,
"1",":Airport","","","","Шереметьево","","","","",,,,,
"2",":Airport","","","","Внуково","","","","",,,,,
"3",":Airport","","","","Остафьево","","","","",,,,,
"4",":Airport","","","","Домодедово","","","","",,,,,
"5",":City","","","","Санкт-Петербург","","","","",,,,,
"6",":Airport","","","","Пулково","","","","",,,,,
"7",":Airport","","","","Левашово","","","","",,,,,
"8",":City","","","","Амстердам","","","","",,,,,
"9",":Airport","","","","Схипхол","","","","",,,,,
"10",":City","","","","Афины","","","","",,,,,
"11",":Airport","","","","Элефтериос Венизелос","","","","",,,,,
"12",":City","","","","Белград","","","","",,,,,
"13",":Airport","","","","Никола Тесла Белград","","","","",,,,,
"14",":City","","","","Берлин","","","","",,,,,
"15",":Airport","","","","Берлин-Тегель","","","","",,,,,
"16",":City","","","","Киев","","","","",,,,,
"17",":Airport","","","","Киев (Жуляны)","","","","",,,,,
"18",":City","","","","Минск","","","","",,,,,
"19",":Airport","","","","Национальный аэропорт «Минск»","","","","",,,,,
"20",":Air_flight","","","","","","","","",,,,,
"21",":Air_flight","","","","","","","","",,,,,
"22",":Air_flight","","","","","","","","",,,,,
"23",":Air_flight","","","","","","","","",,,,,
"24",":Air_flight","","","","","","","","",,,,,
"25",":Air_flight","","","","","","","","",,,,,
"26",":Person","","kortev@yandex.ru","true","Yura123","pbkdf2:sha256:150000$EKHi2nIB$bef1c410f96881196c95f984ff35c7705c87e3cf72cfd46f9af7d9f1bf0bb5e3","89819481550","","",,,,,
"27",":Air_class","Economy","","","","","","200","300",,,,,
"28",":Air_class","Business","","","","","","400","300",,,,,
"29",":Air_class","First","","","","","","800","300",,,,,
"30",":Air_class","Economy","","","","","","200","300",,,,,
"31",":Air_class","Business","","","","","","400","300",,,,,
"32",":Air_class","First","","","","","","800","300",,,,,
"33",":Air_class","Economy","","","","","","200","300",,,,,
"34",":Air_class","Business","","","","","","400","300",,,,,
"35",":Air_class","First","","","","","","800","300",,,,,
